2026-07-14 17:23:44,771 | INFO     | d4fc39b8-e7bc-4242-b906-a940123feb04 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/docs status=200 duration_ms=1.31 client=127.0.0.1
2026-07-14 17:23:46,802 | INFO     | fe91d1ee-c1c0-4560-9f02-bade37f9e726 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/openapi.json status=200 duration_ms=167.54 client=127.0.0.1
2026-07-14 17:24:12,746 | INFO     | 11c9c35e-9852-40e8-a87b-721aeec2964a | circle-wallet-manager | user_service.py:159 | event=login_start username=user1
2026-07-14 17:24:12,961 | INFO     | 11c9c35e-9852-40e8-a87b-721aeec2964a | circle-wallet-manager | user_service.py:197 | event=login_success user_id=2 username=user1
2026-07-14 17:24:12,964 | INFO     | 11c9c35e-9852-40e8-a87b-721aeec2964a | circle-wallet-manager | middleware.py:32 | event=http_request method=POST path=/auth/login status=200 duration_ms=240.23 client=127.0.0.1
2026-07-14 17:24:27,393 | INFO     | 6a25c9a6-c1fc-4d94-a7a5-c8387ac73eaa | circle-wallet-manager | user_service.py:159 | event=login_start username=user1
2026-07-14 17:24:27,555 | INFO     | 6a25c9a6-c1fc-4d94-a7a5-c8387ac73eaa | circle-wallet-manager | user_service.py:197 | event=login_success user_id=2 username=user1
2026-07-14 17:24:27,559 | INFO     | 6a25c9a6-c1fc-4d94-a7a5-c8387ac73eaa | circle-wallet-manager | middleware.py:32 | event=http_request method=POST path=/auth/login status=200 duration_ms=170.42 client=127.0.0.1
2026-07-14 17:24:53,904 | INFO     | 0bb79066-666f-4721-94fa-356947a5a31f | circle-wallet-manager | wallet_service.py:32 | event=create_wallet_start wallet_id=wallet_demo_0021 blockchain=Blockchain.ETH_SEPOLIA
2026-07-14 17:24:53,936 | INFO     | 0bb79066-666f-4721-94fa-356947a5a31f | circle-wallet-manager | wallet_service.py:67 | event=create_wallet_success id=21 wallet_id=wallet_demo_0021 blockchain=ETH-SEPOLIA
2026-07-14 17:24:53,939 | INFO     | 0bb79066-666f-4721-94fa-356947a5a31f | circle-wallet-manager | middleware.py:32 | event=http_request method=POST path=/wallets status=201 duration_ms=41.32 client=127.0.0.1
2026-07-14 17:25:13,085 | INFO     | d2a6dc5e-5bf3-426b-b366-da9a37b99833 | circle-wallet-manager | wallet_service.py:123 | event=get_wallet id=21 owner_id=2 wallet_id=wallet_demo_0021
2026-07-14 17:25:13,087 | INFO     | d2a6dc5e-5bf3-426b-b366-da9a37b99833 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/21 status=200 duration_ms=16.86 client=127.0.0.1
2026-07-14 17:25:57,301 | INFO     | f8c1150f-a652-427d-beee-93adbc2feae3 | circle-wallet-manager | wallet_service.py:102 | event=list_wallets owner_id=2 count=1
2026-07-14 17:25:57,304 | INFO     | f8c1150f-a652-427d-beee-93adbc2feae3 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets status=200 duration_ms=13.97 client=127.0.0.1
2026-07-14 17:26:50,797 | INFO     | 068a37dd-3a35-4c41-b954-3bc81ecd6aef | circle-wallet-manager | wallet_service.py:176 | event=update_wallet_start id=21
2026-07-14 17:26:50,820 | INFO     | 068a37dd-3a35-4c41-b954-3bc81ecd6aef | circle-wallet-manager | wallet_service.py:203 | event=update_wallet_success owner_id=2 wallet_id=21 updated_fields=['address', 'blockchain', 'wallet_set_id', 'state']
2026-07-14 17:26:50,823 | INFO     | 068a37dd-3a35-4c41-b954-3bc81ecd6aef | circle-wallet-manager | middleware.py:32 | event=http_request method=PUT path=/wallets/21 status=200 duration_ms=36.31 client=127.0.0.1
2026-07-14 17:31:01,457 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-14 17:31:11,599 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-14 17:31:19,268 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-14 17:31:22,742 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-14 17:31:37,324 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
